CRN;title;courseNO;coursePrefix;timeEnd;timeStart;capacity;actual;credits;isHonors
25526;Introduction to the University;101L3;UNIV;01:45 pm;12:30 pm;0000;0000;0003;F
25527;Introduction to the University;101L3;UNIV;10:45 am;09:30 am;0000;0000;0003;F
25528;Introduction to the University;101L3;UNIV;01:45 pm;12:30 pm;0000;0000;0003;F
23522;Special Topics;177;UNIV;12:00 am;12:00 am;0020;0020;0001;A
27722;Special Topics;179L3;UNIV;04:45 pm;03:30 pm;0020;0019;0003;F
27732;Special Topics;179L3;UNIV;04:45 pm;03:30 pm;0020;0020;0003;F
22858;Independent Study;399;UNIV;08:50 am;08:00 am;0005;0005;0003;A
23127;Academic Advising for Hnrs Std;499;UNIV;12:00 am;12:00 am;0005;0005;0003;A
23128;Recruiting for an Hnrs College;499;UNIV;12:00 am;12:00 am;0005;0005;0003;A
27504;Early College Alliance;ECA;ECA;12:00 am;12:00 am;0200;0200;0000;A
23179;Intro to African Amer Studies;101;AFC;12:15 pm;11:00 am;0030;0023;0003;A
23181;Intro to African Amer Studies;101;AFC;01:45 pm;12:30 pm;0030;0023;0003;A
23185;Intro to African Amer Studies;101;AFC;01:45 pm;12:30 pm;0030;0024;0003;A
23186;Intro to African Amer Studies;101;AFC;03:15 pm;02:00 pm;0030;0026;0003;A
23188;Intro to African Amer Studies;101;AFC;12:15 pm;11:00 am;0030;0021;0003;A
23574;Intro to African Amer Studies;101;AFC;10:45 am;09:30 am;0030;0030;0003;A
23575;Intro to African Amer Studies;101;AFC;10:45 am;09:30 am;0030;0023;0003;A
24492;Intro to African Amer Studies;101;AFC;03:15 pm;02:00 pm;0030;0026;0003;A
26879;Intro to African Amer Studies;101;AFC;12:00 am;12:00 am;0000;0000;0003;C
26978;Intro to African Amer Studies;101;AFC;04:45 pm;03:30 pm;0030;0027;0003;A
27593;Intro to African Amer Studies;101;AFC;08:15 pm;07:00 pm;0030;0028;0003;A
27595;Intro to African Amer Studies;101;AFC;06:45 pm;05:30 pm;0030;0029;0003;A
26186;Intro to African Amer Studies;101;AFC;12:00 am;12:00 am;0020;0009;0003;A
23189;Intro to African Civilization;102;AFC;10:45 am;09:30 am;0025;0019;0003;A
23190;Intro to African Civilization;102;AFC;01:45 pm;12:30 pm;0025;0016;0003;A
27594;Intro to African Civilization;102;AFC;06:45 pm;05:30 pm;0025;0022;0003;A
27596;Intro to African Civilization;102;AFC;08:15 pm;07:00 pm;0025;0025;0003;A
23182;Politics in African Amer Exper;232;AFC;10:45 am;09:30 am;0025;0024;0003;A
24491;Dimensions of Racism;244;AFC;03:15 pm;02:00 pm;0025;0002;0003;A
25292;Hip Hop Lyricism African Amer;272;AFC;10:45 am;09:30 am;0025;0014;0003;A
26160;Caribbean Cultural Production;279;AFC;12:15 pm;11:00 am;0025;0025;0003;A
26161;Contemporary African Literatur;279;AFC;12:00 am;12:00 am;0025;0025;0003;C
27079;Slavery in the Am Imagination;279;AFC;04:45 pm;03:30 pm;0025;0021;0003;A
23195;Research Mthds in Afr Amer St;301;AFC;08:20 pm;05:30 pm;0025;0019;0003;A
23194;Writing for Afr Amer Studies;302W;AFC;03:15 pm;02:00 pm;0025;0020;0003;A
26975;The African Diaspora;311;AFC;01:45 pm;12:30 pm;0025;0025;0003;A
23191;African Civilization;312;AFC;10:45 am;09:30 am;0010;0010;0003;A
26187;Contemporary Africa: Prospects;313;AFC;12:00 am;12:00 am;0020;0018;0003;A
26880;Contemporary Africa: Prospects;313;AFC;12:00 am;12:00 am;0000;0000;0003;C
23183;Socl Context Afr Amer Health;351;AFC;01:45 pm;12:30 pm;0025;0019;0003;A
23192;Black Women: Religion&Sexism;362;AFC;08:20 pm;05:30 pm;0030;0021;0003;A
23187;Films of the Afri Amer Exper;370;AFC;04:45 pm;03:30 pm;0025;0021;0003;A
26188;African Amer Stud Intern Semin;402L4;AFC;12:00 am;12:00 am;0005;0004;0003;A
26881;African Amer Stud Intern Semin;402L4;AFC;12:00 am;12:00 am;0000;0000;0003;C
23180;Law in the Afri Amer Experien;441;AFC;04:45 pm;03:30 pm;0025;0022;0003;A
26883;Black Men in America-A Survey;479;AFC;12:00 am;12:00 am;0025;0025;0003;C
23503;Independent Study;499;AFC;12:00 am;12:00 am;0003;0003;0003;A
26056;Independent Study;499;AFC;12:00 am;12:00 am;0001;0001;0003;A
26189;The African Political Economy;505;AFC;12:00 am;12:00 am;0005;0005;0003;A
26882;The African Political Economy;505;AFC;12:00 am;12:00 am;0000;0000;0003;C
23316;Law, Race & Community;541;AFC;04:45 pm;03:30 pm;0005;0004;0003;A
